ride_id,rideable_type,start_time,end_time,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,starttime,week_start
792765CAAF9CB2DD,electric_bike,2020/12/28 3:09,2020/12/28 3:31,Clarendon Ave & Junior Ter,13389,Francisco Ave & Foster Ave,KA1504000160,41.96113983,-87.64955033,41.97568033,-87.7014375,casual,2020-12-28 03:09:00,2020-12-28
0423E5EDD2CD9C07,classic_bike,2020/12/28 3:09,2020/12/28 3:15,Aberdeen St & Monroe St,13156,Morgan St & Polk St,TA1307000130,41.880419,-87.655519,41.871737,-87.65103,member,2020-12-28 03:09:00,2020-12-28
7B3A7E47AD514731,electric_bike,2020/12/28 3:47,2020/12/28 4:02,California Ave & Cortez St,17660,Damen Ave & Clybourn Ave,13271,41.9002675,-87.69677883,41.9318565,-87.67785167,member,2020-12-28 03:47:00,2020-12-28
163DD23C6756D2A2,classic_bike,2020/12/28 4:01,2020/12/28 4:03,Desplaines St & Jackson Blvd,15539,Peoria St & Jackson Blvd,13158,41.878287,-87.643909,41.8776416,-87.64961779,member,2020-12-28 04:01:00,2020-12-28
EF69D3B29CD8D878,classic_bike,2020/12/28 4:11,2020/12/28 5:18,California Ave & Montrose Ave,15622,Wabash Ave & 9th St,TA1309000010,41.961068,-87.695439,41.870769,-87.625734,casual,2020-12-28 04:11:00,2020-12-28
8B94B9E94430E28C,classic_bike,2020/12/28 4:11,2020/12/28 4:14,Millennium Park,13008,State St & Randolph St,TA1305000029,41.8810317,-87.62408432,41.8847302,-87.62773357,member,2020-12-28 04:11:00,2020-12-28
F8A2F7D08B967463,electric_bike,2020/12/28 4:21,2020/12/28 4:52,Campbell Ave & Fullerton Ave,15648,Western Ave & Howard St,527,41.92460617,-87.68929383,42.0189085,-87.69007133,member,2020-12-28 04:21:00,2020-12-28
D9297B55CCC5AA71,classic_bike,2020/12/28 4:22,2020/12/28 4:51,Lake Shore Dr & Belmont Ave,TA1309000049,Lincoln Ave & Belmont Ave,TA1309000042,41.940775,-87.639192,41.939365,-87.668385,member,2020-12-28 04:22:00,2020-12-28
F0282CBE6B2100F9,classic_bike,2020/12/28 4:30,2020/12/28 4:35,Green St & Madison St,TA1307000120,Franklin St & Monroe St,TA1309000007,41.881892,-87.648789,41.880317,-87.635185,member,2020-12-28 04:30:00,2020-12-28
D750B168678AB54B,classic_bike,2020/12/28 4:37,2020/12/28 4:46,Wells St & Concord Ln,TA1308000050,Franklin St & Lake St,TA1307000111,41.912133,-87.634656,41.885837,-87.6355,member,2020-12-28 04:37:00,2020-12-28
116833F2C0E588FE,electric_bike,2020/12/28 5:02,2020/12/28 5:11,Franklin St & Jackson Blvd,TA1305000025,,,41.878525,-87.63434983,41.87,-87.63,casual,2020-12-28 05:02:00,2020-12-28
BD576D7060975E23,electric_bike,2020/12/28 5:08,2020/12/28 5:15,Desplaines St & Kinzie St,TA1306000003,Ashland Ave & Grand Ave,13434,41.88858,-87.6443645,41.89110183,-87.66668633,casual,2020-12-28 05:08:00,2020-12-28
33528E02DCE936D5,classic_bike,2020/12/28 5:10,2020/12/28 5:19,Franklin St & Monroe St,TA1309000007,Green St & Madison St,TA1307000120,41.880317,-87.635185,41.881892,-87.648789,member,2020-12-28 05:10:00,2020-12-28
59CC0261A6A26693,electric_bike,2020/12/28 5:11,2020/12/28 5:14,Clark St & Chicago Ave,13303,Wells St & Elm St,KA1504000135,41.89667833,-87.6309105,41.90297083,-87.634554,member,2020-12-28 05:11:00,2020-12-28
45C5EFB17BF3E3E8,classic_bike,2020/12/28 5:13,2020/12/28 5:13,Racine Ave & Randolph St,13155,Aberdeen St & Randolph St,18062,41.884069,-87.656853,41.884114,-87.654264,member,2020-12-28 05:13:00,2020-12-28
