grid_id,geometry,公交站2020,商业2020,地铁站2020,教育2020,文化2020,road_weight
10,"MULTIPOLYGON (((-9788948 5160881, -9788948 5160381, -9789222.80388674 5160381, -9789218.602748683 5160394.755045511, -9789209.584919497 5160422.90148663, -9789207.035624836 5160430.858386277, -9789203.919560805 5160440.584227939, -9789187.726554608 5160487.804411757, -9789179.503398318 5160510.308910455, -9789173.324424159 5160527.218900902, -9789170.5746299 5160534.744331829, -9789165.956708442 5160546.723989736, -9789165.956583884 5160546.724359104, -9789165.956459517 5160546.724687367, -9789161.071437178 5160559.397259058, -9789159.443991942 5160563.441183954, -9789152.327459734 5160581.1246536095, -9789145.719212942 5160597.002128137, -9789141.98382765 5160605.589875556, -9789141.98370328 5160605.590203819, -9789136.056726389 5160619.216331899, -9789136.056270804 5160619.217439625, -9789132.573769685 5160627.223709335, -9789126.57934356 5160640.479641784, -9789122.600551717 5160649.278229534, -9789111.03563749 5160674.852454051, -9789092.619622683 5160713.377212495, -9789088.40165042 5160722.200843103, -9789084.51575401 5160729.951765769, -9789084.515588494 5160729.952134951, -9789084.51542317 5160729.952463027, -9789077.891160589 5160743.165418261, -9789072.90262584 5160753.115651273, -9789065.083655681 5160768.711492489, -9789052.712672405 5160792.540059564, -9789049.54074544 5160798.649774705, -9789046.092506 5160804.767127362, -9789041.221342575 5160813.408806167, -9789034.877763882 5160824.798983883, -9789030.907506585 5160831.927720257, -9789024.209868465 5160843.945025975, -9789024.151063312 5160844.050436405, -9789017.637464734 5160855.737621355, -9789012.158337029 5160865.175484431, -9789004.300290752 5160878.710981955, -9789002.945933318 5160881, -9788948 5160881)), ((-9789049.78240767 5160881, -9789059.13220198 5160864.819379028, -9789059.138105698 5160864.809129903, -9789059.253947455 5160864.60869983, -9789060.439250931 5160862.4580214005, -9789060.473776976 5160862.395494837, -9789076.601859609 5160833.132501831, -9789088.255482677 5160811.95164762, -9789094.724609155 5160800.194133642, -9789108.924612993 5160771.584942642, -9789110.385003567 5160768.655982952, -9789110.912818946 5160767.597408991, -9789113.146979528 5160767.10317, -9789113.147307334 5160767.103130418, -9789149.026260037 5160759.165968885, -9789182.46315531 5160751.768912118, -9789199.811350932 5160747.930973098, -9789224.493099857 5160742.470706119, -9789244.77310348 5160737.984138962, -9789262.68296287 5160734.02188014, -9789289.98159457 5160727.982421926, -9789290.000083366 5160727.978314671, -9789305.058340758 5160724.646832596, -9789330.763203235 5160718.959855233, -9789344.385261077 5160716.03519932, -9789346.800317395 5160715.516710391, -9789370.01826411 5160710.531736547, -9789392.129074693 5160705.784451029, -9789410.769805908 5160701.78217931, -9789416.980851779 5160700.4485899685, -9789424.266580459 5160698.884294561, -9789437.434826223 5160696.056770532, -9789437.436342962 5160696.056448679, -9789438.269944629 5160695.87745419, -9789441.595136635 5160823.761800392, -9789443.0835801 5160881, -9789049.78240767 5160881)))",0,0,0,0,0,14511.153
11,"MULTIPOLYGON (((-9789443.0835801 5160881, -9789444.640871022 5160940.885733423, -9789445.146966957 5160960.347723856, -9789446.240804458 5161002.427523273, -9789448 5161070.018519684, -9789448 5161097.69580549, -9789446.399899814 5161097.729084746, -9789445.635895556 5161097.7450066395, -9789428.22231068 5161098.107196921, -9789321.532433664 5161100.229421032, -9789215.656805918 5161103.075242726, -9789172.740873534 5161104.228457768, -9789172.73870278 5161104.228488807, -9789172.703395294 5161104.22943493, -9789172.661739176 5161104.230516031, -9789108.8319562 5161105.945360442, -9789034.628662359 5161107.938604259, -9788989.518729005 5161109.455599569, -9788948 5161110.851562589, -9788948 5161036.4045652775, -9788951.21723798 5161032.222878199, -9788957.5963544 5161023.931404094, -9788962.07533405 5161018.109744844, -9788963.58708682 5161016.144807154, -9788968.733864427 5161009.455205765, -9788968.734111477 5161009.454919169, -9788968.734317767 5161009.454591274, -9788973.494488882 5161003.2673665555, -9788976.134276928 5160999.9850715, -9788976.144286435 5160999.972621642, -9788980.007660149 5160995.168865931, -9788989.193112308 5160981.503714384, -9789027.237452878 5160920.0159245515, -9789027.935402451 5160918.808091459, -9789027.941017091 5160918.798375336, -9789027.941883944 5160918.796899534, -9789049.78240767 5160881, -9789443.0835801 5160881)), ((-9788948 5160881, -9789002.945933318 5160881, -9788998.685875067 5160888.199982777, -9788998.684967259 5160888.201458382, -9788994.332487496 5160895.55757371, -9788984.381529456 5160912.0571594415, -9788980.309532868 5160918.808805896, -9788972.805004314 5160930.580306605, -9788966.907612773 5160939.830794714, -9788966.49114739 5160940.495274732, -9788956.93453708 5160955.7441838, -9788956.932309238 5160955.747708591, -9788952.33672814 5160963.080648696, -9788948 5160969.783837354, -9788948 5160881)))",0,0,0,0,0,2346.893
12,"POLYGON ((-9788448 5155381, -9788448 5154958.642164529, -9788480.046816712 5154964.793764798, -9788493.417674273 5154967.360312057, -9788522.707290366 5154973.811143187, -9788522.712073931 5154973.812233796, -9788554.629109284 5154980.84163284, -9788554.629968194 5154980.8417601185, -9788562.682887768 5155249.568693144, -9788564.123303859 5155311.922779834, -9788565.719067603 5155381, -9788448 5155381))",0,0,0,0,0,6295.372
13,"POLYGON ((-9788448 5155881, -9788448 5155381, -9788565.719067603 5155381, -9788570.88672784 5155604.697025858, -9788573.769399825 5155708.020767688, -9788853.922428273 5155708.096211548, -9788853.922837581 5155708.096213458, -9788853.784630148 5155761.077704582, -9788853.471747108 5155881, -9788448 5155881))",0,0,0,0,0,1099.512
14,"POLYGON ((-9788948 5156381, -9788448 5156381, -9788448 5155881, -9788853.471747108 5155881, -9788853.132005043 5156011.216863147, -9788853.131944876 5156011.229845929, -9788853.134000437 5156011.227924499, -9788948 5155922.546552907, -9788948 5156381))",0,0,0,0,0,0
15,"POLYGON ((-9788948 5156881, -9788448 5156881, -9788448 5156381, -9788948 5156381, -9788948 5156881))",0,0,0,0,0,16091.078
16,"POLYGON ((-9788948 5157381, -9788448 5157381, -9788448 5156881, -9788948 5156881, -9788948 5157381))",0,0,0,0,0,12019.612
17,"POLYGON ((-9788948 5157881, -9788448 5157881, -9788448 5157381, -9788948 5157381, -9788948 5157881))",0,0,0,0,0,12613.507
18,"POLYGON ((-9788948 5158381, -9788448 5158381, -9788448 5157881, -9788948 5157881, -9788948 5158381))",0,0,0,0,0,14279.048
19,"POLYGON ((-9788948 5158881, -9788448 5158881, -9788448 5158381, -9788948 5158381, -9788948 5158881))",0,0,0,0,0,0
